id_sinistre,id_contrat,branche,type_sinistre,charge_sinistre,date_survenance,date_declaration,annee_survenance,mois_survenance,statut,delai_reglement_jours,cause_principale,region,gravite
SI-000058,IARD-019082,Auto,Vol,1783000,2021-05-10,2021-06-12,2021,5,Réglé,232,Animal,Touba,Grave
SI-000059,IARD-032832,Auto,Vol,349000,2021-02-27,2021-03-18,2021,2,En cours,,Défaut entretien,Bondoukou,Moyen
SI-000060,IARD-066153,Auto,Collision,356000,2020-06-23,2020-07-07,2020,6,Réglé,118,Tiers non identifié,Man,Moyen
SI-000061,IARD-034863,Auto,Vol,203000,2021-12-18,2022-01-30,2021,12,En cours,,Inconnu,Danané,Moyen
SI-000062,IARD-042808,RC,Dommage tiers matériel,805000,2020-11-05,2020-12-19,2020,11,En cours,,Défaut entretien,Abengourou,Grave
SI-000063,IARD-008464,Auto,Bris de glace,362000,2022-02-17,2022-03-12,2022,2,Contesté,,Tiers non identifié,Divo,Moyen
SI-000064,IARD-038119,RC,Dommage tiers matériel,1405000,2020-08-22,2020-08-30,2020,8,Réglé,135,Tiers non identifié,Séguéla,Grave
SI-000065,IARD-000831,Auto,Collision,1440000,2020-10-20,2020-11-16,2020,10,Contesté,,Tiers non identifié,Bondoukou,Grave
SI-000066,IARD-051915,Habitation,Vol/Cambriolage,297000,2019-07-19,2019-07-28,2019,7,Réglé,307,Tiers non identifié,Yamoussoukro,Moyen
SI-000067,IARD-057301,Auto,Dommage tiers,1265000,2021-12-13,2021-12-20,2021,12,En cours,,Intempéries,Yamoussoukro,Grave
SI-000068,IARD-079553,Auto,Collision,600000,2023-09-26,2023-11-06,2023,9,En cours,,Animal,Soubré,Grave
SI-000069,IARD-080060,Auto,Dommage tiers,992000,2024-09-22,2024-10-19,2024,9,En cours,,Défaut entretien,Bondoukou,Grave
SI-000070,IARD-028791,Auto,Catastrophe naturelle,1001000,2019-09-23,2019-10-16,2019,9,En cours,,Défaut entretien,Tingrela,Grave
SI-000071,IARD-077150,Auto,Vol,1772000,2019-08-11,2019-08-20,2019,8,Sans suite,,Animal,Abengourou,Grave
SI-000072,IARD-014388,RC,Dommage tiers matériel,1259000,2020-01-02,2020-01-14,2020,1,Réglé,280,Intempéries,Divo,Grave
SI-000073,IARD-038646,Habitation,Dégât des eaux,1199000,2022-02-02,2022-03-14,2022,2,Réglé,16,Animal,Abidjan,Grave
SI-000074,IARD-019584,Auto,Bris de glace,446000,2023-05-17,2023-06-19,2023,5,Réglé,206,Conducteur tiers,Daloa,Moyen
SI-000075,IARD-044772,Auto,Catastrophe naturelle,252000,2019-11-20,2019-12-23,2019,11,En cours,,Conducteur tiers,Touba,Moyen
SI-000076,IARD-040855,Habitation,Vol/Cambriolage,952000,2019-10-28,2019-11-26,2019,10,Sans suite,,Défaut entretien,Séguéla,Grave
SI-000077,IARD-074545,Habitation,Catastrophe naturelle,1017000,2022-03-13,2022-04-14,2022,3,Réglé,332,Inconnu,Danané,Grave
SI-000078,IARD-037974,Auto,Collision,1342000,2022-06-12,2022-06-18,2022,6,Réglé,297,Conducteur tiers,Abidjan,Grave
SI-000079,IARD-023990,Auto,Incendie,1556000,2021-10-01,2021-11-08,2021,10,Réglé,76,Défaut entretien,Gagnoa,Grave
SI-000080,IARD-045555,Habitation,Vol/Cambriolage,557000,2023-10-27,2023-11-30,2023,10,Réglé,361,Inconnu,Issia,Grave
SI-000081,IARD-031358,RC,Dommage tiers corporel,506000,2023-07-28,2023-08-15,2023,7,Réglé,99,Animal,Abengourou,Grave
SI-000082,IARD-004625,Habitation,Dégât des eaux,701000,2019-05-11,2019-06-22,2019,5,Contesté,,Conducteur tiers,Abidjan,Grave
SI-000083,IARD-075657,Habitation,Dégât des eaux,171000,2022-02-28,2022-03-01,2022,2,En cours,,Tiers non identifié,Bondoukou,Moyen
SI-000084,IARD-043559,RC,Dommage tiers matériel,433000,2024-10-22,2024-11-02,2024,10,En cours,,Animal,Gagnoa,Moyen
SI-000085,IARD-098117,Habitation,Tempête,510000,2022-10-12,2022-11-09,2022,10,Réglé,116,Intempéries,Séguéla,Grave
SI-000086,IARD-059310,Auto,Incendie,1774000,2024-05-31,2024-07-11,2024,5,Réglé,181,Intempéries,Yamoussoukro,Grave
SI-000087,IARD-008609,RC,Dommage tiers matériel,208000,2019-02-06,2019-03-01,2019,2,Sans suite,,Inconnu,Abidjan,Moyen
SI-000088,IARD-017049,RC,Préjudice moral,2179000,2021-02-04,2021-02-18,2021,2,En cours,,Conducteur tiers,Touba,Grave
SI-000089,IARD-023404,Auto,Dommage tiers,146000,2022-11-23,2022-12-19,2022,11,En cours,,Défaut entretien,Abengourou,Moyen
SI-000090,IARD-061516,Habitation,Vandalisme,742000,2024-10-24,2024-12-02,2024,10,En cours,,Inconnu,Tingrela,Grave
SI-000091,IARD-086896,Habitation,Tempête,638000,2021-08-21,2021-09-23,2021,8,Réglé,354,Tiers non identifié,Odienné,Grave
SI-000092,IARD-025444,Auto,Vol,279000,2019-01-13,2019-01-18,2019,1,Réglé,190,Tiers non identifié,Yamoussoukro,Moyen
SI-000093,IARD-033036,Habitation,Incendie,423000,2020-11-10,2020-11-27,2020,11,Réglé,120,Tiers non identifié,Abengourou,Moyen
SI-000094,IARD-091207,Habitation,Dégât des eaux,379000,2024-06-23,2024-08-01,2024,6,Réglé,147,Tiers non identifié,Séguéla,Moyen
SI-000095,IARD-041644,Auto,Collision,460000,2022-01-19,2022-02-12,2022,1,Sans suite,,Tiers non identifié,Korhogo,Moyen
SI-000096,IARD-044658,RC,Dommage tiers corporel,967000,2024-08-23,2024-09-19,2024,8,Réglé,17,Inconnu,Man,Grave
SI-000097,IARD-014722,Auto,Vol,1508000,2024-02-28,2024-04-09,2024,2,Réglé,169,Inconnu,Yamoussoukro,Grave
SI-000098,IARD-050590,Auto,Collision,1276000,2021-07-01,2021-07-19,2021,7,Réglé,39,Intempéries,Tingrela,Grave
SI-000099,IARD-010990,Auto,Dommage tiers,305000,2023-04-09,2023-05-08,2023,4,Réglé,63,Défaut entretien,Séguéla,Moyen
SI-000100,IARD-003957,Habitation,Dégât des eaux,759000,2020-05-11,2020-05-30,2020,5,Réglé,148,Inconnu,Yamoussoukro,Grave
SI-000101,IARD-043612,Auto,Incendie,631000,2023-12-28,2024-01-11,2023,12,Réglé,231,Inconnu,Gagnoa,Grave
SI-000102,IARD-024006,Habitation,Incendie,1138000,2021-07-07,2021-07-09,2021,7,Contesté,,Animal,Touba,Grave
SI-000103,IARD-086488,RC,Dommage tiers corporel,978000,2022-02-26,2022-02-27,2022,2,En cours,,Inconnu,Bouaké,Grave
SI-000104,IARD-060842,Auto,Collision,500000,2022-10-04,2022-10-15,2022,10,Réglé,181,Défaut entretien,Danané,Grave
SI-000105,IARD-062339,RC,Pollution accidentelle,428000,2022-08-20,2022-08-31,2022,8,Réglé,145,Animal,Daloa,Moyen
SI-000106,IARD-009257,Habitation,Dégât des eaux,1159000,2019-07-27,2019-08-13,2019,7,Sans suite,,Intempéries,Issia,Grave
SI-000107,IARD-089508,RC,Dommage tiers matériel,1385000,2022-02-09,2022-03-25,2022,2,En cours,,Intempéries,Issia,Grave
SI-000108,IARD-033217,Habitation,Catastrophe naturelle,108000,2021-11-12,2021-12-27,2021,11,En cours,,Défaut entretien,Daloa,Moyen
SI-000109,IARD-089271,Auto,Vol,369000,2022-06-26,2022-07-08,2022,6,Réglé,143,Défaut entretien,Touba,Moyen
SI-000110,IARD-089412,Auto,Collision,36000,2020-07-23,2020-08-02,2020,7,En cours,,Défaut entretien,Daloa,Mineur
SI-000111,IARD-041516,Habitation,Vol/Cambriolage,104000,2020-11-20,2020-12-31,2020,11,Sans suite,,Défaut entretien,Odienné,Moyen
SI-000112,IARD-056085,Habitation,Tempête,719000,2023-09-17,2023-10-09,2023,9,Réglé,119,Défaut entretien,Man,Grave
SI-000113,IARD-027823,Auto,Collision,1312000,2022-11-21,2022-11-30,2022,11,Réglé,71,Défaut entretien,Yamoussoukro,Grave
SI-000114,IARD-088329,RC,Blessures corporelles,437000,2024-07-26,2024-08-31,2024,7,Réglé,170,Conducteur tiers,Daloa,Moyen
SI-000115,IARD-019976,Habitation,Incendie,588000,2023-08-27,2023-09-16,2023,8,Sans suite,,Inconnu,Divo,Grave
SI-000116,IARD-041632,Auto,Vol,321000,2020-01-26,2020-03-06,2020,1,Réglé,207,Animal,Issia,Moyen
SI-000117,IARD-085577,Habitation,Dégât des eaux,388000,2019-10-23,2019-12-05,2019,10,En cours,,Tiers non identifié,Abengourou,Moyen
SI-000118,IARD-091193,Auto,Vol,1293000,2020-03-10,2020-03-16,2020,3,Réglé,288,Tiers non identifié,Divo,Grave
SI-000119,IARD-020043,Auto,Incendie,1722000,2022-07-19,2022-07-30,2022,7,Réglé,260,Tiers non identifié,Touba,Grave
SI-000120,IARD-072735,Habitation,Incendie,259000,2023-03-01,2023-04-05,2023,3,Réglé,235,Défaut entretien,Abengourou,Moyen
SI-000121,IARD-015272,Auto,Incendie,244000,2023-05-15,2023-06-07,2023,5,Contesté,,Intempéries,Danané,Moyen
SI-000122,IARD-034877,Habitation,Incendie,788000,2023-03-28,2023-04-14,2023,3,Réglé,292,Tiers non identifié,Bondoukou,Grave
SI-000123,IARD-087428,RC,Dommage tiers corporel,283000,2024-04-01,2024-04-23,2024,4,En cours,,Conducteur tiers,San Pedro,Moyen
SI-000124,IARD-095657,Habitation,Vol/Cambriolage,1129000,2020-04-03,2020-04-15,2020,4,Sans suite,,Conducteur tiers,Tingrela,Grave
SI-000125,IARD-065188,RC,Dommage tiers corporel,2337000,2024-11-27,2024-12-18,2024,11,Réglé,181,Tiers non identifié,Soubré,Grave
SI-000126,IARD-056931,Auto,Catastrophe naturelle,142000,2021-11-29,2022-01-08,2021,11,Réglé,185,Animal,Abengourou,Moyen
SI-000127,IARD-046858,RC,Préjudice moral,1654000,2020-09-14,2020-09-29,2020,9,En cours,,Tiers non identifié,Yamoussoukro,Grave
SI-000128,IARD-000804,Auto,Collision,806000,2019-03-28,2019-04-18,2019,3,Réglé,314,Tiers non identifié,Soubré,Grave
SI-000129,IARD-024477,Habitation,Tempête,1073000,2020-02-22,2020-03-06,2020,2,En cours,,Défaut entretien,Soubré,Grave
SI-000130,IARD-078172,Auto,Collision,932000,2022-11-28,2022-12-26,2022,11,En cours,,Animal,Soubré,Grave
SI-000131,IARD-086857,Habitation,Vandalisme,158000,2019-06-18,2019-07-20,2019,6,En cours,,Inconnu,Daloa,Moyen
SI-000132,IARD-024622,Auto,Collision,1599000,2019-01-30,2019-02-02,2019,1,Réglé,118,Conducteur tiers,Daloa,Grave
SI-000133,IARD-048498,RC,Dommage tiers matériel,2226000,2020-12-07,2021-01-13,2020,12,Réglé,180,Conducteur tiers,Soubré,Grave
SI-000134,IARD-094331,Auto,Incendie,1589000,2019-04-08,2019-04-19,2019,4,Sans suite,,Animal,Séguéla,Grave
SI-000135,IARD-050298,RC,Blessures corporelles,1152000,2021-09-28,2021-10-16,2021,9,Réglé,333,Animal,Touba,Grave
SI-000136,IARD-006965,Habitation,Vol/Cambriolage,568000,2021-01-27,2021-01-30,2021,1,Sans suite,,Animal,Gagnoa,Grave
SI-000137,IARD-087550,Auto,Vol,483000,2023-07-07,2023-08-01,2023,7,Sans suite,,Animal,Gagnoa,Moyen
SI-000138,IARD-029076,Habitation,Vol/Cambriolage,550000,2022-08-24,2022-08-27,2022,8,Réglé,203,Intempéries,Bouaké,Grave
SI-000139,IARD-073202,Auto,Bris de glace,82000,2022-10-23,2022-11-30,2022,10,En cours,,Conducteur tiers,Abengourou,Mineur
SI-000140,IARD-074303,Auto,Vol,605000,2024-04-24,2024-05-11,2024,4,Sans suite,,Tiers non identifié,Odienné,Grave
SI-000141,IARD-054860,Auto,Vol,746000,2021-02-25,2021-04-08,2021,2,Réglé,203,Conducteur tiers,Abengourou,Grave
SI-000142,IARD-055064,Auto,Vol,1556000,2021-01-22,2021-02-19,2021,1,Contesté,,Défaut entretien,Touba,Grave
SI-000143,IARD-028847,Habitation,Incendie,662000,2022-03-18,2022-04-24,2022,3,En cours,,Inconnu,Abengourou,Grave
SI-000144,IARD-034139,RC,Dommage tiers matériel,974000,2021-05-11,2021-05-17,2021,5,En cours,,Défaut entretien,Bondoukou,Grave
SI-000145,IARD-023405,Habitation,Incendie,738000,2021-05-03,2021-05-24,2021,5,Réglé,182,Tiers non identifié,Danané,Grave
SI-000146,IARD-032314,Auto,Collision,750000,2024-09-19,2024-09-22,2024,9,Réglé,30,Défaut entretien,Korhogo,Grave
SI-000147,IARD-080775,Habitation,Dégât des eaux,635000,2021-07-16,2021-07-24,2021,7,Sans suite,,Conducteur tiers,Korhogo,Grave
SI-000148,IARD-012332,Auto,Incendie,1163000,2022-06-25,2022-07-22,2022,6,Sans suite,,Animal,Man,Grave
SI-000149,IARD-083814,Auto,Incendie,201000,2020-01-17,2020-02-15,2020,1,En cours,,Inconnu,Divo,Moyen
SI-000150,IARD-072853,Auto,Bris de glace,1495000,2022-09-30,2022-10-17,2022,9,Réglé,278,Tiers non identifié,Touba,Grave
SI-000151,IARD-085113,Auto,Incendie,1327000,2020-12-08,2021-01-18,2020,12,En cours,,Inconnu,Gagnoa,Grave
SI-000152,IARD-027547,Habitation,Vol/Cambriolage,766000,2022-01-31,2022-01-31,2022,1,Réglé,208,Défaut entretien,Bouaké,Grave
SI-000153,IARD-093829,RC,Préjudice moral,1819000,2022-03-30,2022-04-12,2022,3,Réglé,190,Inconnu,Korhogo,Grave
SI-000154,IARD-022032,Auto,Dommage tiers,1177000,2023-05-31,2023-07-06,2023,5,En cours,,Animal,Bouaké,Grave
SI-000155,IARD-069342,Auto,Incendie,1693000,2021-03-02,2021-03-26,2021,3,Réglé,185,Défaut entretien,Bouaké,Grave
SI-000156,IARD-068637,Habitation,Incendie,474000,2023-12-02,2023-12-07,2023,12,En cours,,Inconnu,Bondoukou,Moyen
SI-000157,IARD-038122,Auto,Collision,605000,2019-02-18,2019-04-04,2019,2,Réglé,64,Défaut entretien,San Pedro,Grave
SI-000158,IARD-014179,RC,Dommage tiers matériel,986000,2023-04-09,2023-05-14,2023,4,Réglé,124,Défaut entretien,Séguéla,Grave
SI-000159,IARD-009888,RC,Pollution accidentelle,2444000,2023-05-19,2023-06-20,2023,5,Réglé,72,Inconnu,Soubré,Grave
SI-000160,IARD-087952,Auto,Dommage tiers,822000,2021-01-08,2021-01-26,2021,1,En cours,,Inconnu,Yamoussoukro,Grave
SI-000161,IARD-082547,Habitation,Incendie,102000,2022-10-01,2022-11-05,2022,10,En cours,,Inconnu,Tingrela,Moyen
SI-000162,IARD-050726,Habitation,Incendie,1090000,2024-06-12,2024-07-08,2024,6,Réglé,100,Conducteur tiers,Bondoukou,Grave
SI-000163,IARD-056956,Habitation,Vol/Cambriolage,1029000,2020-04-11,2020-05-09,2020,4,Contesté,,Tiers non identifié,Divo,Grave
SI-000164,IARD-090627,Habitation,Incendie,772000,2019-02-20,2019-03-10,2019,2,En cours,,Tiers non identifié,Bondoukou,Grave
SI-000165,IARD-062428,RC,Dommage tiers matériel,1892000,2021-06-03,2021-06-15,2021,6,En cours,,Tiers non identifié,Man,Grave
SI-000166,IARD-075323,Auto,Dommage tiers,955000,2023-08-21,2023-09-05,2023,8,Réglé,184,Défaut entretien,Yamoussoukro,Grave
SI-000167,IARD-007621,Auto,Incendie,1618000,2024-06-06,2024-06-07,2024,6,Réglé,288,Tiers non identifié,Abengourou,Grave
SI-000168,IARD-022388,RC,Dommage tiers corporel,1802000,2021-04-24,2021-06-02,2021,4,En cours,,Conducteur tiers,Bondoukou,Grave
SI-000169,IARD-051474,Auto,Catastrophe naturelle,564000,2023-06-30,2023-07-13,2023,6,Réglé,210,Tiers non identifié,Danané,Grave
SI-000170,IARD-085202,Auto,Collision,542000,2019-01-05,2019-01-30,2019,1,Réglé,215,Intempéries,Abengourou,Grave
SI-000171,IARD-014142,Auto,Dommage tiers,220000,2023-02-03,2023-03-16,2023,2,Réglé,362,Intempéries,Odienné,Moyen
SI-000172,IARD-006930,Auto,Collision,701000,2021-03-01,2021-04-08,2021,3,Contesté,,Inconnu,Daloa,Grave
SI-000173,IARD-066576,Habitation,Vol/Cambriolage,693000,2023-09-22,2023-10-08,2023,9,Sans suite,,Tiers non identifié,Touba,Grave
SI-000174,IARD-046635,Habitation,Vol/Cambriolage,574000,2023-08-14,2023-08-18,2023,8,Réglé,345,Défaut entretien,Danané,Grave
SI-000175,IARD-067858,RC,Blessures corporelles,1551000,2022-03-18,2022-04-08,2022,3,Réglé,361,Animal,Daloa,Grave
SI-000176,IARD-001811,Auto,Dommage tiers,696000,2023-09-15,2023-10-22,2023,9,En cours,,Conducteur tiers,Bondoukou,Grave
SI-000177,IARD-093671,Auto,Catastrophe naturelle,1656000,2024-07-22,2024-08-24,2024,7,Réglé,249,Inconnu,Bouaké,Grave
SI-000178,IARD-091778,RC,Dommage tiers matériel,866000,2024-11-05,2024-11-21,2024,11,En cours,,Intempéries,Touba,Grave
SI-000179,IARD-042685,Habitation,Dégât des eaux,438000,2023-02-05,2023-02-25,2023,2,En cours,,Tiers non identifié,Korhogo,Moyen
SI-000180,IARD-026953,Auto,Collision,1514000,2019-08-23,2019-09-29,2019,8,Réglé,330,Intempéries,Abengourou,Grave
SI-000181,IARD-029978,RC,Dommage tiers matériel,2152000,2021-02-10,2021-02-25,2021,2,Contesté,,Inconnu,San Pedro,Grave
SI-000182,IARD-028872,Auto,Catastrophe naturelle,1406000,2021-01-09,2021-01-20,2021,1,Réglé,255,Intempéries,Danané,Grave
SI-000183,IARD-085349,RC,Dommage tiers corporel,1077000,2019-02-03,2019-02-07,2019,2,Réglé,249,Inconnu,San Pedro,Grave
SI-000184,IARD-010068,RC,Dommage tiers matériel,1789000,2020-11-04,2020-11-17,2020,11,Réglé,201,Conducteur tiers,Touba,Grave
SI-000185,IARD-097345,Habitation,Dégât des eaux,739000,2023-05-30,2023-06-28,2023,5,En cours,,Intempéries,San Pedro,Grave
SI-000186,IARD-064185,Habitation,Vandalisme,901000,2022-09-29,2022-10-23,2022,9,Sans suite,,Défaut entretien,San Pedro,Grave
SI-000187,IARD-030099,RC,Dommage tiers corporel,737000,2019-12-19,2020-01-29,2019,12,Sans suite,,Tiers non identifié,Korhogo,Grave
SI-000188,IARD-030225,Habitation,Dégât des eaux,515000,2021-05-06,2021-06-15,2021,5,Réglé,82,Intempéries,Bouaké,Grave
SI-000189,IARD-022046,Habitation,Incendie,152000,2023-04-17,2023-05-08,2023,4,Réglé,20,Conducteur tiers,Bondoukou,Moyen
SI-000190,IARD-084922,Auto,Vol,1685000,2019-10-22,2019-11-02,2019,10,Réglé,137,Inconnu,Bouaké,Grave
SI-000191,IARD-084325,Habitation,Incendie,87000,2022-07-16,2022-07-22,2022,7,Sans suite,,Défaut entretien,Yamoussoukro,Mineur
SI-000192,IARD-073366,Habitation,Vol/Cambriolage,852000,2024-01-03,2024-01-06,2024,1,En cours,,Conducteur tiers,Daloa,Grave
SI-000193,IARD-051460,Auto,Vol,1606000,2021-07-17,2021-08-30,2021,7,En cours,,Animal,Touba,Grave
SI-000194,IARD-044902,Auto,Dommage tiers,641000,2024-08-18,2024-09-12,2024,8,Réglé,124,Défaut entretien,Tingrela,Grave
SI-000195,IARD-075352,Auto,Incendie,195000,2022-06-29,2022-08-02,2022,6,Réglé,92,Conducteur tiers,Gagnoa,Moyen
SI-000196,IARD-052282,Auto,Collision,778000,2023-08-22,2023-10-03,2023,8,Réglé,327,Intempéries,Soubré,Grave
SI-000197,IARD-024836,Habitation,Incendie,38000,2020-02-05,2020-03-16,2020,2,En cours,,Inconnu,Odienné,Mineur
