id_sinistre,id_police,date_sinistre,type_sinistre,garantie,montant_sinistre,statut
SIN-OM-0046,POL-OM-0079,2024-08-12,Incendie,Vol et incendie,369981.88,En cours
SIN-OM-0047,POL-OM-0046,2026-02-10,Dégât des eaux,Dégâts des eaux,99842.03,En cours
SIN-OM-0048,POL-OM-0069,2023-10-25,Dégât des eaux,Dégâts des eaux,124330.38,En cours
SIN-OM-0049,POL-OM-0013,2026-02-08,Bris de glace,Bris de glace,319498.34,En cours
SIN-OM-0050,POL-OM-0094,2024-10-22,Incendie,Vol et incendie,1670556.9,Réglé
SIN-OM-0051,POL-OM-0101,2023-06-07,Collision,Dommages tous accidents,456796.89,Réglé
SIN-OM-0052,POL-OM-0149,2023-02-15,Tempête,Catastrophes naturelles,749459.96,En cours
SIN-OM-0053,POL-OM-0121,2023-12-28,Tempête,Catastrophes naturelles,1169080.4,En cours
SIN-OM-0054,POL-OM-0058,2025-12-24,Tempête,Catastrophes naturelles,633742.19,Réglé
SIN-OM-0055,POL-OM-0104,2023-12-23,Incendie,Vol et incendie,845533.61,Réglé
SIN-OM-0056,POL-OM-0017,2024-02-08,Bris de glace,Bris de glace,576718.43,En cours
SIN-OM-0057,POL-OM-0151,2023-03-29,Incendie,Vol et incendie,849903.09,Réglé
SIN-OM-0058,POL-OM-0009,2024-06-14,Collision,Dommages tous accidents,,Réglé
SIN-OM-0059,POL-OM-0105,2023-08-11,Vol,Vol et incendie,260379.31,Réglé
SIN-OM-0060,POL-OM-0149,2024-06-01,Incendie,Vol et incendie,297657.56,Déclaré
SIN-OM-0061,POL-OM-0017,2025-11-30,Inondation,Catastrophes naturelles,251129.12,Déclaré
SIN-OM-0062,POL-OM-0045,2024-01-04,Tempête,Catastrophes naturelles,847455.65,Réglé
SIN-OM-0063,POL-OM-0089,2024-12-03,Dégât des eaux,Dégâts des eaux,40749.2,Déclaré
SIN-OM-0064,POL-OM-0038,2025-04-19,Bris de glace,Bris de glace,292425.06,En cours
SIN-OM-0065,POL-OM-0042,2024-08-22,Dégât des eaux,Dégâts des eaux,524287.69,Déclaré
SIN-OM-0066,POL-OM-0143,2025-04-19,Collision,Dommages tous accidents,491179.1,Réglé
SIN-OM-0067,POL-OM-0127,2025-05-27,Collision,Dommages tous accidents,291706.29,Réglé
SIN-OM-0068,POL-OM-0031,2024-08-09,Dégât des eaux,Dégâts des eaux,468594.7,Réglé
SIN-OM-0069,POL-OM-0090,2023-01-22,Vol,Vol et incendie,602336.83,Déclaré
SIN-OM-0070,POL-OM-0105,2024-03-17,Dégât des eaux,Dégâts des eaux,338378.26,Déclaré
SIN-OM-0071,POL-OM-0067,2025-01-17,Dégât des eaux,Dégâts des eaux,,Réglé
SIN-OM-0072,POL-OM-0109,2023-11-05,Collision,Dommages tous accidents,174833.69,En cours
SIN-OM-0073,POL-OM-0093,2023-05-06,Incendie,Vol et incendie,607821.54,En cours
SIN-OM-0074,POL-OM-0070,2023-04-07,Incendie,Vol et incendie,133844.93,En cours
SIN-OM-0075,POL-OM-0072,2024-09-25,Bris de glace,Bris de glace,126347.27,Déclaré
SIN-OM-0076,POL-OM-0021,2025-01-31,Dégât des eaux,Dégâts des eaux,596268.3,Déclaré
SIN-OM-0077,POL-OM-0018,2025-02-15,Vol,Vol et incendie,176676.57,Réglé
SIN-OM-0003,POL-OM-0094,2022-10-26,Bris de glace,Bris de glace,116528.95,Réglé
SIN-OM-0025,POL-OM-0130,2024-11-25,Bris de glace,Bris de glace,604548.97,Réglé
SIN-OM-0062,POL-OM-0045,2024-01-04,Tempête,Catastrophes naturelles,847455.65,Réglé
